Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 5.12 Master Event - Sorting - Kode Event"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:55,2024-02-01 13:13:55,0.375s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Sorting/sorting_Nama Event""))",Chrome 121.0.0.0,Sorting - Nama Event,,2024-02-01 13:13:55,2024-02-01 13:13:56,0.629s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 5.13 Master Event - Sorting - Nama Event"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:56,2024-02-01 13:13:56,0.370s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Sorting/sorting_Lokasi""))",Chrome 121.0.0.0,Sorting - Lokasi,,2024-02-01 13:13:56,2024-02-01 13:13:57,0.545s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 5.14 Master Event - Sorting - Lokasi"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:57,2024-02-01 13:13:57,0.384s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Sorting/sorting_Dari Tanggal""))",Chrome 121.0.0.0,Sorting - Dari Tanggal,,2024-02-01 13:13:57,2024-02-01 13:13:58,0.536s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 5.15 Master Event - Sorting - Dari Tanggal"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:58,2024-02-01 13:13:58,0.369s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Sorting/sorting_Sampai Tanggal""))",Chrome 121.0.0.0,Sorting - Sampai Tanggal,,2024-02-01 13:13:58,2024-02-01 13:13:58,0.528s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 5.15 Master Event - Sorting - Sampai Tanggal"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:58,2024-02-01 13:13:59,0.369s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Sorting/sorting_Status""))",Chrome 121.0.0.0,Sorting - Status,,2024-02-01 13:13:59,2024-02-01 13:13:59,0.513s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 5.15 Master Event - Sorting - Status"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:59,2024-02-01 13:14:00,0.366s,PASSED
,,,,,,,
Test Cases/Cek Event,Chrome 121.0.0.0,,,2024-02-01 13:14:00,2024-02-01 13:14:05,4.985s,FAILED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,Get directory project,,2024-02-01 13:14:00,2024-02-01 13:14:00,0.001s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/sidebar-dashboard""))",Chrome 121.0.0.0,,,2024-02-01 13:14:00,2024-02-01 13:14:01,0.373s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/click-Event - Dealer""))",Chrome 121.0.0.0,,,2024-02-01 13:14:01,2024-02-01 13:14:02,1.396s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 4.1 Event - Dealer"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:14:02,2024-02-01 13:14:02,0.403s,PASSED
"setText(findTestObject(""CMS/Page_Dashboard/search bar""), nama_event)",Chrome 121.0.0.0,,,2024-02-01 13:14:02,2024-02-01 13:14:03,0.633s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 4.2 Event - Dealer - Search"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:14:03,2024-02-01 13:14:03,0.361s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/sidebar-dashboard""))",Chrome 121.0.0.0,,,2024-02-01 13:14:03,2024-02-01 13:14:04,0.392s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/span_Master Data""))",Chrome 121.0.0.0,,,2024-02-01 13:14:04,2024-02-01 13:14:04,0.400s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Dashboard/click-Event - Kanwil - KCU""))",Chrome 121.0.0.0,,,2024-02-01 13:14:04,2024-02-01 13:14:05,0.640s,FAILED
,,,,,,,
Test Cases/event-kanwil/1. event-kanwil,Chrome 121.0.0.0,,,2024-02-01 13:14:05,2024-02-01 13:14:06,1.683s,FAILED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,,,2024-02-01 13:14:05,2024-02-01 13:14:05,0.000s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/sidebar-dashboard""))",Chrome 121.0.0.0,,,2024-02-01 13:14:05,2024-02-01 13:14:06,0.374s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + ""Skenario 12.1 Dashboard - Sidebar"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:14:06,2024-02-01 13:14:06,0.385s,PASSED
"click(findTestObject(""Object Repository/CMS/event_kanwil/sub_menu_dinamis"", [""index"":""event_mapping_kanwil_kcu""]))",Chrome 121.0.0.0,,,2024-02-01 13:14:06,2024-02-01 13:14:06,0.495s,FAILED
,,,,,,,
Test Cases/event-kanwil/2. verifikasi data,Chrome 121.0.0.0,,,2024-02-01 13:14:06,2024-02-01 13:14:10,3.331s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,,,2024-02-01 13:14:07,2024-02-01 13:14:07,0.000s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 12.2 field kosong"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:14:07,2024-02-01 13:14:07,0.359s,PASSED
"setText(findTestObject(""CMS/Page_Dashboard/search bar""), nama_event)",Chrome 121.0.0.0,,,2024-02-01 13:14:07,2024-02-01 13:14:08,0.593s,PASSED
delay(1),Chrome 121.0.0.0,,,2024-02-01 13:14:08,2024-02-01 13:14:09,1.044s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 12.3 nama terisi"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:14:09,2024-02-01 13:14:09,0.358s,PASSED
"setText(findTestObject(""CMS/Page_Dashboard/search bar""), nama_event)",Chrome 121.0.0.0,,,2024-02-01 13:14:09,2024-02-01 13:14:10,0.588s,PASSED
,,,,,,,
Test Cases/event-kanwil/3. edit data,Chrome 121.0.0.0,,,2024-02-01 13:14:10,2024-02-01 13:14:49,38.900s,FAILED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,,,2024-02-01 13:14:10,2024-02-01 13:14:10,0.000s,PASSED
"kcuIndex = [1, 12, 25, 38, 51, 62, 72, 83, 94, 107, 117, 125, 136]",Chrome 121.0.0.0,,,2024-02-01 13:14:10,2024-02-01 13:14:10,0.001s,PASSED
"subSkenario = [""a"", ""b"", ""c""]",Chrome 121.0.0.0,,,2024-02-01 13:14:10,2024-02-01 13:14:10,0.000s,PASSED
"for ([i = 0, i < 3, (i++)])",Chrome 121.0.0.0,,,2024-02-01 13:14:10,2024-02-01 13:14:49,38.494s,FAILED
,,,,,,,
Test Cases/event-kanwil/4. verifikasi data,Chrome 121.0.0.0,,,2024-02-01 13:14:49,2024-02-01 13:15:10,21.384s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,,,2024-02-01 13:14:49,2024-02-01 13:14:49,0.000s,PASSED
delay(1),Chrome 121.0.0.0,,,2024-02-01 13:14:49,2024-02-01 13:14:50,1.015s,PASSED
